PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Total_Bathrooms,Total_Bsmt_Finished_SF,Total_Porch_SF,Total_House_SF,Outdoor_SF,House_Age,Since_Remodel,Garage_Age,Area_per_Room,Area_per_Bedroom,Bathrooms_per_Bedroom,Outdoor_to_TotalArea,Basement_to_Living_Ratio,Quality_x_Area,Quality_x_TotalSF,Condition_x_Age,Rooms_x_Bathrooms,Bedrooms_x_Bathrooms,Bsmt_Quality_x_FinishedSF,log_Lot_Area,log_Gr_Liv_Area,log_Total_House_SF,log_Total_Bsmt_Finished_SF,log_Total_Porch_SF,log_Outdoor_SF,log_SalePrice
527163010,60,RL,75.0,10000,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993-01-01,1994-01-01,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,763.0,763.0,GasA,4,Y,SBrkr,763,892,0,1655,0,0,2,1,3,1,3,7,8,1,3,Attchd,1993-01-01,Fin,2,440.0,3,3,Y,157,84,0,0,0,0,0,0,None,0,4,2010-01-01,WD,Normal,175900,2.5,0.0,84,1655.0,241,17,16,17,236.42857142857142,551.6666666666666,0.8333333333333334,0.14553140096618358,0.0,9930,9930.0,85,17.5,7.5,0.0,9.210440366976517,7.412160334945205,7.412160334945205,0.0,4.442651256490317,5.488937726156687,12.077676615757813
527165230,20,RL,64.0,7980,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992-01-01,2007-01-01,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,5,935.0,1,0.0,233.0,1168.0,GasA,5,Y,SBrkr,1187,0,0,1187,1,0,2,0,3,1,3,6,8,0,0,Attchd,1992-01-01,Fin,2,420.0,3,3,Y,483,21,0,0,0,0,0,0,Shed,500,3,2010-01-01,WD,Normal,185000,3.0,935.0,21,2122.0,504,18,3,18,197.83333333333334,395.6666666666667,1.0,0.23739990579368817,0.7870370370370371,7122,12732.0,126,18.0,9.0,3740.0,8.984818995876008,7.080026499922591,7.660585461703256,6.8416154764775925,3.091042453358316,6.22455842927536,12.128116509451258
527166040,60,RL,63.0,8402,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998-01-01,1998-01-01,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,789.0,789.0,GasA,4,Y,SBrkr,789,676,0,1465,0,0,2,1,3,1,3,7,8,1,4,Attchd,1998-01-01,Fin,2,393.0,3,3,Y,0,75,0,0,0,0,0,0,None,0,5,2010-01-01,WD,Normal,180400,2.5,0.0,75,1465.0,75,12,12,12,209.28571428571428,488.3333333333333,0.8333333333333334,0.05115961800818554,0.0,8790,8790.0,60,17.5,7.5,0.0,9.036344063928219,7.290292882446597,7.290292882446597,0.0,4.330733340286331,4.330733340286331,12.102937429832547
527180040,20,RL,85.0,10176,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990-01-01,1990-01-01,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,4,6,637.0,1,0.0,663.0,1300.0,GasA,4,Y,SBrkr,1341,0,0,1341,1,0,1,1,2,1,4,5,8,1,1,Attchd,1990-01-01,Unf,2,506.0,3,3,Y,192,0,0,0,0,0,0,0,None,0,2,2010-01-01,WD,Normal,171500,2.5,637.0,0,1978.0,192,20,20,20,268.2,670.5,1.25,0.09701869631126832,0.47466467958271236,9387,13846.0,100,12.5,5.0,2548.0,9.227885551191932,7.201916317531627,7.590346945602565,6.45833828334479,0.0,5.262690188904886,12.052344376474922
527182190,120,RL,60.0,6820,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985-01-01,1985-01-01,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,3,6,368.0,4,1120.0,0.0,1488.0,GasA,3,Y,SBrkr,1502,0,0,1502,1,0,1,1,1,1,4,4,8,0,0,Attchd,1985-01-01,RFn,2,528.0,3,3,Y,0,54,0,0,140,0,0,0,None,0,6,2010-01-01,WD,Normal,212000,2.5,1488.0,194,2990.0,54,25,25,25,375.5,1502.0,2.5,0.01805416248746239,0.9900199600798403,12016,23920.0,125,10.0,2.5,5952.0,8.82776136765472,7.315218389752975,8.003363058629947,7.305860032684009,5.272999558563747,4.007333185232471,12.264346270624157
527216070,60,RL,47.0,53504,Pave,None,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003-01-01,2003-01-01,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,5,3,PConc,4,3,4,5,1416.0,1,0.0,234.0,1650.0,GasA,5,Y,SBrkr,1690,1589,0,3279,1,0,3,1,4,1,5,12,5,1,4,BuiltIn,2003-01-01,Fin,3,841.0,3,3,Y,503,36,0,0,210,0,0,0,None,0,6,2010-01-01,WD,Normal,538000,4.5,1416.0,246,4695.0,539,7,7,7,273.25,819.75,1.125,0.11477853492333902,0.4317073170731707,26232,37560.0,35,54.0,18.0,5664.0,10.887530386461101,8.09559870137819,8.454466361507933,7.256297239690681,5.5093883366279774,6.29156913955832,13.195615697878253
527225035,50,RL,152.0,12134,Pave,None,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988-01-01,2005-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,3,Wood,4,3,3,6,427.0,1,0.0,132.0,559.0,GasA,4,Y,SBrkr,1080,672,0,1752,0,0,2,0,4,1,3,8,8,0,0,Basment,1988-01-01,RFn,2,492.0,3,3,Y,325,12,0,0,0,0,0,0,None,0,6,2010-01-01,WD,Normal,164000,2.0,427.0,12,2179.0,337,22,5,22,219.0,438.0,0.5,0.15458715596330275,0.24358243011979464,14016,17432.0,154,16.0,8.0,1708.0,9.403849118160702,7.469083884921234,7.687080155783135,6.059123195581797,2.5649493574615367,5.823045895483019,12.00762780434872
527258010,20,RL,88.0,11394,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010-01-01,2010-01-01,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,4,3,PConc,5,3,3,6,1445.0,1,0.0,411.0,1856.0,GasA,5,Y,SBrkr,1856,0,0,1856,1,0,1,1,1,1,5,8,8,1,5,Attchd,2010-01-01,Fin,3,834.0,3,3,Y,113,0,0,0,0,0,0,0,None,0,6,2010-01-01,New,Partial,394432,2.5,1445.0,0,3301.0,113,0,0,0,232.0,1856.0,2.5,0.03422168382798304,0.7781367797522887,16704,29709.0,0,20.0,2.5,7225.0,9.340929941679784,7.526717561352706,8.102283624480073,7.27655640271871,0.0,4.736198448394496,12.885204569609956
527276150,20,RL,140.0,19138,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951-01-01,1951-01-01,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,2,120.0,1,0.0,744.0,864.0,GasA,5,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,3,4,8,0,0,Detchd,1951-01-01,Unf,2,400.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,6,2010-01-01,WD,Normal,141000,1.0,120.0,0,984.0,0,59,59,59,216.0,432.0,0.5,0.0,0.13872832369942195,3456,3936.0,295,4.0,2.0,360.0,9.859483417038073,6.762729506931879,6.892641641172089,4.795790545596741,0.0,0.0,11.856522261533737
527302110,20,RL,85.0,13175,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978-01-01,1988-01-01,Gable,CompShg,Plywood,Plywood,Stone,119.0,3,3,CBlock,4,3,1,5,790.0,3,163.0,589.0,1542.0,GasA,3,Y,SBrkr,2073,0,0,2073,1,0,2,0,3,1,3,7,7,2,3,Attchd,1978-01-01,Unf,2,500.0,3,3,Y,349,0,0,0,0,0,0,0,None,0,2,2010-01-01,WD,Normal,210000,3.0,953.0,0,3026.0,349,32,22,32,296.14285714285717,691.0,1.0,0.11529567228278824,0.45949855351976854,12438,18156.0,192,21.0,9.0,3812.0,9.486152271857476,7.637234388789473,8.01532730902172,6.860663671448287,0.0,5.857933154483459,12.25486757159303
527358140,20,RL,105.0,11751,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977-01-01,1977-01-01,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,1,0.0,1139.0,1844.0,GasA,5,Y,SBrkr,1844,0,0,1844,0,0,2,0,3,1,3,7,8,1,3,Attchd,1977-01-01,RFn,2,546.0,3,3,Y,0,122,0,0,0,0,0,0,None,0,1,2010-01-01,COD,Normal,190000,2.0,705.0,122,2549.0,122,33,33,33,263.42857142857144,614.6666666666666,0.6666666666666666,0.04784313725490196,0.3821138211382114,11064,15294.0,198,14.0,6.0,2820.0,9.371778717853713,7.520234556474628,7.843848638152472,6.559615237493242,4.812184355372417,4.812184355372417,12.154784614286667
527358200,85,RL,85.0,10625,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974-01-01,1974-01-01,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,3,3,CBlock,4,3,4,6,885.0,2,168.0,0.0,1053.0,GasA,3,Y,SBrkr,1173,0,0,1173,1,0,2,0,3,1,4,6,8,2,3,Attchd,1974-01-01,RFn,2,528.0,3,3,Y,0,120,0,0,0,0,0,0,None,0,1,2010-01-01,WD,Family,170000,3.0,1053.0,120,2226.0,120,36,36,36,195.5,391.0,1.0,0.05388414907947912,0.8969335604770017,8211,15582.0,216,18.0,9.0,4212.0,9.271059107010888,7.068172000388042,7.708410667257367,6.960347729101308,4.795790545596741,4.795790545596741,12.04355959836804
527368020,60,FV,72.5,7500,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000-01-01,2000-01-01,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,533.0,1,0.0,281.0,814.0,GasA,5,Y,SBrkr,814,860,0,1674,1,0,2,1,3,1,4,7,8,0,0,Attchd,2000-01-01,RFn,2,663.0,3,3,Y,0,96,0,0,0,0,0,0,None,0,1,2010-01-01,WD,Normal,216000,3.5,533.0,96,2207.0,96,10,10,10,239.14285714285714,558.0,1.1666666666666667,0.043478260869565216,0.3182089552238806,11718,15449.0,50,24.5,10.5,2132.0,8.922791623969637,7.423568444259167,7.699842407396986,6.280395838960195,4.574710978503383,4.574710978503383,12.283038316285214
527402200,20,RL,73.0,11241,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970-01-01,1970-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578.0,1,0.0,426.0,1004.0,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,3,Attchd,1970-01-01,Fin,2,480.0,3,3,Y,0,0,0,0,0,0,0,0,Shed,700,3,2010-01-01,WD,Normal,149000,2.0,578.0,0,1582.0,0,40,40,40,200.8,502.0,1.0,0.0,0.5751243781094527,6024,9492.0,280,10.0,4.0,1734.0,9.32741204356202,6.912742820493176,7.367077059881012,6.361302477572996,0.0,0.0,11.91170829631447
527402250,20,RL,73.0,12537,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971-01-01,2008-01-01,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,6,734.0,1,0.0,344.0,1078.0,GasA,5,Y,SBrkr,1078,0,0,1078,1,0,1,1,3,1,3,6,8,1,2,Attchd,1971-01-01,Fin,2,500.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,4,2010-01-01,WD,Normal,149900,2.5,734.0,0,1812.0,0,39,2,39,179.66666666666666,359.3333333333333,0.8333333333333334,0.0,0.680259499536608,5390,9060.0,234,15.0,7.5,2202.0,9.436519311833914,6.983789965258135,7.502738210754851,6.5998704992128365,0.0,0.0,11.917730355182513
527403020,20,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968-01-01,1968-01-01,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,4,775.0,1,0.0,281.0,1056.0,GasA,5,Y,SBrkr,1056,0,0,1056,1,0,1,0,3,1,3,6,8,1,2,Attchd,1968-01-01,Unf,1,304.0,3,3,Y,0,85,184,0,0,0,0,0,None,0,7,2010-01-01,WD,Normal,142000,2.0,775.0,269,1831.0,85,42,42,42,176.0,352.0,0.6666666666666666,0.04639737991266375,0.7332071901608326,5280,9155.0,252,12.0,6.0,2325.0,9.042040056544483,6.963189985870238,7.513163545234075,6.654152520183219,5.598421958998375,4.454347296253507,11.863589378812122
527404120,20,RL,70.0,8400,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970-01-01,1970-01-01,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,1,5,804.0,3,78.0,0.0,882.0,GasA,3,Y,SBrkr,882,0,0,882,1,0,1,0,2,1,3,4,8,0,0,Attchd,1970-01-01,Fin,2,525.0,3,3,Y,240,0,0,0,0,0,0,0,None,0,4,2010-01-01,WD,Normal,126000,2.0,882.0,0,1764.0,240,40,40,40,220.5,441.0,1.0,0.1359773371104816,0.9988674971687429,3528,7056.0,200,8.0,4.0,2646.0,9.036106025364846,6.78332520060396,7.475905969367397,6.78332520060396,0.0,5.484796933490655,11.744045122410057
527425090,20,RL,70.0,10500,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971-01-01,1971-01-01,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,5,432.0,1,0.0,432.0,864.0,GasA,3,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,3,5,8,1,1,Attchd,1971-01-01,Unf,0,0.0,0,0,Y,0,0,0,0,0,0,0,0,None,0,4,2010-01-01,ConLI,Normal,115000,1.0,432.0,0,1296.0,0,39,39,39,172.8,288.0,0.3333333333333333,0.0,0.49942196531791905,3456,5184.0,195,5.0,3.0,1296.0,9.259225769705994,6.762729506931879,7.167809184316444,6.07073772800249,0.0,0.0,11.652696102959753
527427230,120,RH,26.0,5858,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999-01-01,1999-01-01,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,1,6,1051.0,4,0.0,354.0,1405.0,GasA,5,Y,SBrkr,1337,0,0,1337,1,0,2,0,2,1,4,5,8,1,2,Attchd,1999-01-01,Fin,2,511.0,3,3,Y,203,68,0,0,0,0,0,0,None,0,6,2010-01-01,WD,Normal,184000,3.0,1051.0,68,2388.0,271,11,11,11,267.4,668.5,1.5,0.11343658434491419,0.7855007473841554,9359,16716.0,55,15.0,6.0,4204.0,8.675734219544788,7.198931240688173,7.77863014732581,6.9584483932976555,4.23410650459726,5.605802066295998,12.122696471358964
527451180,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971-01-01,1971-01-01,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,3,3,CBlock,3,3,1,3,156.0,1,0.0,327.0,483.0,GasA,3,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,8,0,0,Detchd,1971-01-01,Unf,1,264.0,3,3,Y,275,0,0,0,0,0,0,0,None,0,2,2010-01-01,COD,Normal,96000,1.5,156.0,0,1143.0,275,39,39,39,197.4,493.5,0.75,0.2403846153846154,0.15789473684210525,5922,6858.0,195,7.5,3.0,468.0,7.427144133408616,6.895682697747868,7.042286171939743,5.056245805348308,0.0,5.62040086571715,11.472113887062386
